"Lon" "Lat" "Smith2014" "Smith2014.name"
"139" -164.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"140" -164.75 65.75 13 "Arctic/Alpine Tundra"
"141" -164.75 66.25 13 "Arctic/Alpine Tundra"
"142" -164.75 67.75 13 "Arctic/Alpine Tundra"
"143" -164.75 68.25 17 "Desert"
"144" -164.75 68.75 17 "Desert"
"145" -164.25 54.75 4 "Boreal Evergreen Forest/Woodland"
"146" -164.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"147" -164.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"148" -164.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"149" -164.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"150" -164.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"151" -164.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"152" -164.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"153" -164.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"154" -164.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"155" -164.25 65.75 13 "Arctic/Alpine Tundra"
"156" -164.25 66.25 13 "Arctic/Alpine Tundra"
"157" -164.25 67.75 13 "Arctic/Alpine Tundra"
"158" -164.25 68.25 17 "Desert"
"159" -164.25 68.75 17 "Desert"
"160" -163.75 54.75 4 "Boreal Evergreen Forest/Woodland"
"161" -163.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"162" -163.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"163" -163.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"164" -163.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"165" -163.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"166" -163.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"167" -163.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"168" -163.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"169" -163.75 65.25 13 "Arctic/Alpine Tundra"
"170" -163.75 65.75 13 "Arctic/Alpine Tundra"
"171" -163.75 67.25 13 "Arctic/Alpine Tundra"
"172" -163.75 67.75 13 "Arctic/Alpine Tundra"
"173" -163.75 68.25 17 "Desert"
"174" -163.75 68.75 17 "Desert"
"175" -163.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"176" -163.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"177" -163.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"178" -163.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"179" -163.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"180" -163.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"181" -163.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"182" -163.25 65.25 13 "Arctic/Alpine Tundra"
"183" -163.25 65.75 13 "Arctic/Alpine Tundra"
"184" -163.25 67.25 13 "Arctic/Alpine Tundra"
"185" -163.25 67.75 13 "Arctic/Alpine Tundra"
"186" -163.25 68.25 17 "Desert"
"187" -163.25 68.75 17 "Desert"
"188" -163.25 69.25 15 "Dry Grassland"
"189" -162.75 55.25 4 "Boreal Evergreen Forest/Woodland"
"190" -162.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"191" -162.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"192" -162.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"193" -162.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"194" -162.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"195" -162.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"196" -162.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"197" -162.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"198" -162.75 65.25 13 "Arctic/Alpine Tundra"
"199" -162.75 65.75 4 "Boreal Evergreen Forest/Woodland"
"200" -162.75 67.25 13 "Arctic/Alpine Tundra"
"201" -162.75 67.75 13 "Arctic/Alpine Tundra"
"202" -162.75 68.25 17 "Desert"
"203" -162.75 68.75 17 "Desert"
"204" -162.75 69.25 17 "Desert"
"205" -162.75 69.75 17 "Desert"
"206" -162.25 55.25 4 "Boreal Evergreen Forest/Woodland"
"207" -162.25 55.75 4 "Boreal Evergreen Forest/Woodland"
"208" -162.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"209" -162.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"210" -162.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"211" -162.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"212" -162.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"213" -162.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"214" -162.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"215" -162.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"216" -162.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"217" -162.25 65.75 4 "Boreal Evergreen Forest/Woodland"
"218" -162.25 67.25 13 "Arctic/Alpine Tundra"
"219" -162.25 67.75 13 "Arctic/Alpine Tundra"
"220" -162.25 68.25 17 "Desert"
"221" -162.25 68.75 17 "Desert"
"222" -162.25 69.25 17 "Desert"
"223" -162.25 69.75 17 "Desert"
"224" -161.75 55.25 4 "Boreal Evergreen Forest/Woodland"
"225" -161.75 55.75 4 "Boreal Evergreen Forest/Woodland"
"226" -161.75 58.75 4 "Boreal Evergreen Forest/Woodland"
"227" -161.75 59.25 4 "Boreal Evergreen Forest/Woodland"
"228" -161.75 59.75 4 "Boreal Evergreen Forest/Woodland"
"229" -161.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"230" -161.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"231" -161.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"232" -161.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"233" -161.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"234" -161.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"235" -161.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"236" -161.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"237" -161.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"238" -161.75 65.75 4 "Boreal Evergreen Forest/Woodland"
"239" -161.75 66.75 4 "Boreal Evergreen Forest/Woodland"
"240" -161.75 67.25 13 "Arctic/Alpine Tundra"
"241" -161.75 67.75 13 "Arctic/Alpine Tundra"
"242" -161.75 68.25 17 "Desert"
"243" -161.75 68.75 17 "Desert"
"244" -161.75 69.25 17 "Desert"
"245" -161.75 69.75 15 "Dry Grassland"
"246" -161.75 70.25 17 "Desert"
"247" -161.25 55.75 4 "Boreal Evergreen Forest/Woodland"
"248" -161.25 58.75 4 "Boreal Evergreen Forest/Woodland"
"249" -161.25 59.25 4 "Boreal Evergreen Forest/Woodland"
"250" -161.25 59.75 4 "Boreal Evergreen Forest/Woodland"
"251" -161.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"252" -161.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"253" -161.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"254" -161.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"255" -161.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"256" -161.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"257" -161.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"258" -161.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"259" -161.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"260" -161.25 65.75 4 "Boreal Evergreen Forest/Woodland"
"261" -161.25 66.25 4 "Boreal Evergreen Forest/Woodland"
"262" -161.25 66.75 4 "Boreal Evergreen Forest/Woodland"
"263" -161.25 67.25 13 "Arctic/Alpine Tundra"
"264" -161.25 67.75 17 "Desert"
"265" -161.25 68.25 17 "Desert"
"266" -161.25 68.75 17 "Desert"
"267" -161.25 69.25 17 "Desert"
"268" -161.25 69.75 17 "Desert"
"269" -161.25 70.25 17 "Desert"
"270" -160.75 55.75 4 "Boreal Evergreen Forest/Woodland"
"271" -160.75 59.25 4 "Boreal Evergreen Forest/Woodland"
"272" -160.75 59.75 4 "Boreal Evergreen Forest/Woodland"
"273" -160.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"274" -160.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"275" -160.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"276" -160.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"277" -160.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"278" -160.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"279" -160.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"280" -160.75 63.75 4 "Boreal Evergreen Forest/Woodland"
"281" -160.75 64.25 4 "Boreal Evergreen Forest/Woodland"
"282" -160.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"283" -160.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"284" -160.75 65.75 4 "Boreal Evergreen Forest/Woodland"
"285" -160.75 66.25 4 "Boreal Evergreen Forest/Woodland"
"286" -160.75 66.75 4 "Boreal Evergreen Forest/Woodland"
"287" -160.75 67.25 13 "Arctic/Alpine Tundra"
"288" -160.75 67.75 17 "Desert"
"289" -160.75 68.25 17 "Desert"
"290" -160.75 68.75 17 "Desert"
"291" -160.75 69.25 17 "Desert"
"292" -160.75 69.75 17 "Desert"
"293" -160.75 70.25 17 "Desert"
"294" -160.25 55.75 4 "Boreal Evergreen Forest/Woodland"
"295" -160.25 56.25 4 "Boreal Evergreen Forest/Woodland"
"296" -160.25 59.25 4 "Boreal Evergreen Forest/Woodland"
"297" -160.25 59.75 4 "Boreal Evergreen Forest/Woodland"
"298" -160.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"299" -160.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"300" -160.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"301" -160.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"302" -160.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"303" -160.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"304" -160.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"305" -160.25 63.75 4 "Boreal Evergreen Forest/Woodland"
"306" -160.25 64.25 4 "Boreal Evergreen Forest/Woodland"
"307" -160.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"308" -160.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"309" -160.25 65.75 4 "Boreal Evergreen Forest/Woodland"
"310" -160.25 66.25 4 "Boreal Evergreen Forest/Woodland"
"311" -160.25 66.75 4 "Boreal Evergreen Forest/Woodland"
"312" -160.25 67.25 13 "Arctic/Alpine Tundra"
"313" -160.25 67.75 15 "Dry Grassland"
"314" -160.25 68.25 17 "Desert"
"315" -160.25 68.75 17 "Desert"
"316" -160.25 69.25 17 "Desert"
"317" -160.25 69.75 17 "Desert"
"318" -160.25 70.25 17 "Desert"
"319" -159.75 55.75 4 "Boreal Evergreen Forest/Woodland"
"320" -159.75 56.25 4 "Boreal Evergreen Forest/Woodland"
"321" -159.75 59.25 4 "Boreal Evergreen Forest/Woodland"
"322" -159.75 59.75 4 "Boreal Evergreen Forest/Woodland"
"323" -159.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"324" -159.75 60.75 13 "Arctic/Alpine Tundra"
"325" -159.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"326" -159.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"327" -159.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"328" -159.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"329" -159.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"330" -159.75 63.75 4 "Boreal Evergreen Forest/Woodland"
"331" -159.75 64.25 4 "Boreal Evergreen Forest/Woodland"
"332" -159.75 64.75 13 "Arctic/Alpine Tundra"
"333" -159.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"334" -159.75 65.75 4 "Boreal Evergreen Forest/Woodland"
"335" -159.75 66.25 4 "Boreal Evergreen Forest/Woodland"
"336" -159.75 66.75 4 "Boreal Evergreen Forest/Woodland"
"337" -159.75 67.25 13 "Arctic/Alpine Tundra"
"338" -159.75 67.75 17 "Desert"
"339" -159.75 68.25 15 "Dry Grassland"
